Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
170747800,-43.15112649,0.006957347173,-159.6475201,-519.6475201,-0.1273097429,0.9854498162,-1.796655357,-1.796655357,-0.1322446948,0.9848900847,-1.389071281,-1.389071281,-42.47128972,0.007523770053,-123.1485184,-483.1485184,
171235581,-42.9094215,0.007153670373,-160.8929006,-520.8929006,-0.128671267,0.9852953579,-1.805451293,-1.805451293,-0.1301684918,0.9851255328,-1.375757062,-1.375757062,-42.39520787,0.007589962083,-124.9757571,-484.9757571,
171723362,-42.64745186,0.007372714335,-162.0227725,-522.0227725,-0.1288918388,0.9852703373,-1.81805976,-1.81805976,-0.1327381591,0.9848341326,-1.373906941,-1.373906941,-42.35414633,0.007625927704,-126.2697143,-486.2697143,
172211143,-42.32126675,0.007654849603,-163.583811,-523.583811,-0.1300882864,0.9851346295,-1.820391834,-1.820391834,-0.1331731632,0.9847848116,-1.36839701,-1.36839701,-42.25950545,0.007709473634,-128.2908641,-488.2908641,
172698924,-42.12150438,0.007832939659,-165.4040297,-525.4040297,-0.1284256863,0.985323216,-1.848960974,-1.848960974,-0.1341954901,0.9846689096,-1.382799107,-1.382799107,-42.24358059,0.007723621281,-129.586924,-489.586924,
173186705,-41.96393241,0.007976334887,-166.8639215,-526.8639215,-0.1274074903,0.9854387265,-1.862103338,-1.862103338,-0.1348928112,0.9845898615,-1.388435002,-1.388435002,-42.18935153,0.007771993403,-131.5149264,-491.5149264,
173674486,-41.73671862,0.008187740484,-167.2762746,-527.2762746,-0.1299190344,0.9851538259,-1.864149588,-1.864149588,-0.1352435068,0.9845501091,-1.381385593,-1.381385593,-42.1121566,0.007841374034,-133.6686435,-493.6686435,
174162267,-41.55286801,0.008362894139,-169.414356,-529.414356,-0.1302382964,0.9851176158,-1.88076215,-1.88076215,-0.1347398339,0.9846072024,-1.394943678,-1.394943678,-42.0368325,0.007909670191,-135.3093556,-495.3093556,
174650048,-41.37018308,0.00854064845,-170.1796299,-530.1796299,-0.1310950106,0.9850204557,-1.897905705,-1.897905705,-0.1354064761,0.9845316367,-1.395465317,-1.395465317,-41.96582353,0.00797459844,-137.1343726,-497.1343726,
175137829,-41.10455319,0.008805871434,-171.9477135,-531.9477135,-0.1299908507,0.9851456805,-1.898963689,-1.898963689,-0.1354793779,0.9845233734,-1.37836578,-1.37836578,-41.89499837,0.00803988953,-138.8183571,-498.8183571,
175625610,-40.95673149,0.00895701756,-172.8658096,-532.8658096,-0.1308872143,0.985044021,-1.904359776,-1.904359776,-0.1362534512,0.9844356381,-1.39924085,-1.39924085,-41.79312909,0.008134737545,-140.5827779,-500.5827779,
176113391,-40.73473022,0.009188899233,-174.2880777,-534.2880777,-0.12971242,0.9851772604,-1.914040287,-1.914040287,-0.1361378703,0.9844487378,-1.391625093,-1.391625093,-41.76006426,0.008165763299,-142.2678872,-502.2678872,
176601173,-40.58859261,0.009344807712,-175.0473903,-535.0473903,-0.130799621,0.9850539548,-1.915739034,-1.915739034,-0.1372641351,0.9843210965,-1.383097188,-1.383097188,-41.65176118,0.00826821842,-144.3078155,-504.3078155,
177088954,-40.44133535,0.009504586615,-176.2183517,-536.2183517,-0.1311619185,0.985012868,-1.942697149,-1.942697149,-0.1377803077,0.9842626034,-1.392046154,-1.392046154,-41.59136036,0.008325915176,-145.9776419,-505.9776419,
177576735,-40.19455482,0.009778500429,-177.2539696,-537.2539696,-0.1308760559,0.9850452865,-1.941311087,-1.941311087,-0.1384195345,0.9841901706,-1.380417461,-1.380417461,-41.52988371,0.008385053048,-147.8610135,-507.8610135,
178064516,-40.05766607,0.009933829377,-178.1862026,-538.1862026,-0.132227697,0.9848920121,-1.957288926,-1.957288926,-0.1387097084,0.9841572918,-1.37979854,-1.37979854,-41.44405347,0.008468321281,-149.3168577,-509.3168577,
