Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Unwrapped Phase,
144097600,-37.196575,0.01380928682,-222.9010882,-30.89483259,0.02852714901,1271.983184,-30.88802225,0.02854952504,1273.706162,-39.1913242,0.01097573948,-277.4472787,
156097400,-39.59325396,0.01047942134,-185.9749545,-32.19771957,0.02455353469,1390.429082,-32.1966717,0.02455649702,1392.032197,-38.52493845,0.01185094759,-187.9107689,
168097200,-37.80072577,0.01288141913,-240.4333832,-33.63149324,0.02081734491,1505.624905,-33.62537719,0.02083200832,1507.171263,-43.4856249,0.006694509392,-247.1512643,
180097000,-39.71708907,0.01033107576,-226.7091024,-34.77568121,0.01824802804,1622.858057,-34.77000251,0.0182599622,1624.671238,-43.90532347,0.006378724225,-246.0259813,
192096800,-37.42185244,0.01345573353,-167.09617,-36.26748502,0.01536829715,1740.73671,-36.27112052,0.01536186606,1742.403683,-40.52681054,0.009411513578,-187.0785236,
204096600,-39.68271033,0.01037204718,-243.791569,-36.82524941,0.01441244057,1858.468281,-36.83094111,0.01440299947,1860.168084,-43.0365657,0.007049717518,-212.4036773,
216096400,-35.46506131,0.01685570549,-242.2678378,-38.13699433,0.01239225334,1974.445681,-38.14382167,0.01238251654,1976.257331,-35.98301936,0.0158799464,-221.8553385,
228096200,-37.36362524,0.01354623913,-250.3380224,-39.29121909,0.01085023253,2093.169841,-39.30026412,0.01083893954,2094.972357,-36.30969718,0.01529379066,-232.2055727,
240096000,-35.39547802,0.01699128008,-236.5687225,-40.5987549,0.009333880899,2213.045659,-40.6101221,0.009321673668,2214.807505,-40.98197603,0.008931022805,-234.6201431,
252095800,-33.35121786,0.02150003204,-236.506252,-41.32583531,0.008584366169,2329.885647,-41.33968326,0.008570690981,2331.497038,-37.9828157,0.01261418555,-232.1595864,
264095600,-37.2472564,0.01372894547,-240.7231327,-42.66627658,0.007356752934,2446.828385,-42.69159386,0.007335340986,2448.427283,-36.50110502,0.01496045318,-235.9540336,
276095400,-32.29036832,0.02429302426,-210.3921756,-43.81003371,0.006449088167,2562.843333,-43.84470645,0.006423395712,2564.531877,-30.93558432,0.0283936212,-282.294815,
