Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
460001955,-32.4308306,0.02390333345,68.07186663,-651.9281334,-56.51987293,0.001492816249,91.97952106,-78028.02048,-56.56941288,0.001484326209,93.89204715,-78026.10795,-30.8577161,0.02864931185,94.0885959,-265.9114041,
460489736,-32.95346131,0.0225074832,65.91470418,-654.0852958,-56.77341605,0.001449870446,7.191391341,-78112.80861,-56.89874303,0.001429100754,8.895166667,-78111.10483,-31.0270062,0.02809633613,91.594446,-268.405554,
460977517,-33.52807514,0.021066687,64.56062191,-655.4393781,-56.49407315,0.001497256966,-78.81455502,-78198.81456,-56.63522467,0.001473122173,-77.66303076,-78197.66303,-31.31501378,0.02717999115,89.77146478,-270.2285352,
461465298,-34.12933352,0.0196577281,63.93229268,-656.0677073,-55.85974523,0.001610692879,-160.9202565,-78280.92026,-55.8676098,0.001609235149,-159.8812706,-78279.88127,-31.61404605,0.02626017994,88.81585605,-271.184144,
461953079,-34.7634369,0.01827377002,63.97556322,-656.0244368,-55.54612579,0.001669912481,122.0993243,-78357.90068,-55.56037084,0.001667176031,123.810159,-78356.18984,-31.85210374,0.02555022993,88.4223271,-271.5776729,
462440860,-35.3883996,0.01700513249,64.77059585,-655.2294042,-56.19008982,0.001550584753,45.34939067,-78434.65061,-56.32957808,0.001525882512,47.37224711,-78432.62775,-32.0070914,0.02509836496,87.9927442,-272.0072558,
462928641,-36.03458002,0.01578596003,66.2295779,-653.7704221,-57.61566054,0.001315882081,-38.55498494,-78518.55498,-58.19131821,0.001231499074,-36.75816579,-78516.75817,-32.15963026,0.02466144314,87.00716393,-272.9928361,
463416422,-36.70365777,0.01461561557,68.61667354,-651.3833265,-58.07141188,0.001248617467,-133.357325,-78613.35732,-58.2414687,0.001224409145,-132.601099,-78612.6011,-32.41510782,0.02394664132,85.69892487,-274.3010751,
463904203,-37.35188365,0.01356456333,72.57613895,-647.423861,-56.78185932,0.001448461759,137.4636259,-78702.53637,-56.7899334,0.001447115949,139.1784886,-78700.82151,-32.80589605,0.0228931312,84.78784851,-275.2121515,
464391984,-37.77964378,0.0129127223,78.40897072,-641.5910293,-55.65335766,0.001649423269,59.22446344,-78780.77554,-55.72199615,0.001636440399,61.0500894,-78778.94991,-33.27036463,0.021701101,84.90861016,-275.0913898,
464879765,-37.80819144,0.01287035209,84.95735565,-635.0426443,-55.61767023,0.00165621414,-15.22337072,-78855.22337,-55.7384097,0.001633350971,-13.47487813,-78853.47488,-33.68464574,0.02069034408,85.98915511,-274.0108449,
465367546,-37.42951372,0.0134438703,90.28440032,-629.7155997,-56.47519389,0.001500514876,-93.61154683,-78933.61155,-56.59495227,0.001479968209,-92.52697503,-78932.52698,-33.99732323,0.01995877299,87.53582878,-272.4641712,
465855327,-36.88424421,0.01431488256,93.49339799,-626.506602,-57.35087374,0.001356614057,179.9452159,-79020.05478,-57.39454497,0.001349810343,-178.6140139,-79018.61401,-34.25991325,0.01936441304,89.27416539,-270.7258346,
466343108,-36.3880849,0.01515638941,94.64956835,-625.3504316,-57.26173312,0.001370608257,91.62234876,-79108.37765,-57.32963691,0.00135993501,93.23793758,-79106.76206,-34.5000636,0.01883635298,91.23544142,-268.7645586,
466830889,-36.00459775,0.01584054474,94.79649991,-625.2035001,-56.7675908,0.001450843137,7.930210283,-79192.06979,-56.87142969,0.001433601727,9.54793628,-79190.45206,-34.67186959,0.01846743252,93.85336253,-266.1466375,
467318670,-35.75598999,0.01630048403,94.3166144,-625.6833856,-56.63684197,0.001472847905,-72.73800027,-79272.738,-56.78804768,0.001447430154,-71.28859109,-79271.28859,-34.68096404,0.01844810653,96.81532524,-263.1846748,
467806451,-35.61580061,0.01656570676,93.66476377,-626.3352362,-56.89775918,0.001429262638,-155.1587818,-79355.15878,-56.8954919,0.001429635767,-154.0737179,-79354.07372,-34.52604433,0.01878009495,99.3036193,-260.6963807,
468294232,-35.57223419,0.01664900525,93.12611305,-626.873887,-56.93441084,0.001423244315,120.2501685,-79439.74983,-56.99402254,0.001413509961,121.9624301,-79438.03757,-34.2833073,0.01931232828,100.8536612,-259.1463388,
468782013,-35.59319671,0.016608873,92.82997113,-627.1700289,-56.69276566,0.001463395507,36.6377063,-79523.36229,-56.83730781,0.001439244603,38.29621558,-79521.70378,-34.06497186,0.01980393111,101.4974205,-258.5025795,
